Station name,Description,x [km],w [km],z [km],y [km]
faultst000dp000,"On fault, 0.0 km along strike, 0.0 km down-dip.",0.0,0.0,0.0,0.0
faultst000dp010,"On fault, 0.0 km along strike, 1.0 km down-dip.",0.0,1.0,0.25881904510252074,0.9659258262890682
faultst000dp030,"On fault, 0.0 km along strike, 3.0 km down-dip.",0.0,3.0,0.7764571353075622,2.8977774788672046
faultst000dp060,"On fault, 0.0 km along strike, 6.0 km down-dip.",0.0,6.0,1.5529142706151244,5.795554957734409
faultst000dp120,"On fault, 0.0 km along strike, 12.0 km down-dip.",0.0,12.0,3.105828541230249,11.591109915468818
faultst000dp180,"On fault, 0.0 km along strike, 18.0 km down-dip.",0.0,18.0,4.658742811845373,17.386664873203227
faultst000dp240,"On fault, 0.0 km along strike, 24.0 km down-dip.",0.0,24.0,6.211657082460498,23.182219830937637
faultst040dp000,"On fault, 4.0 km along strike, 0.0 km down-dip.",4.0,0.0,0.0,0.0
faultst040dp030,"On fault, 4.0 km along strike, 3.0 km down-dip.",4.0,3.0,0.7764571353075622,2.8977774788672046
faultst040dp060,"On fault, 4.0 km along strike, 6.0 km down-dip.",4.0,6.0,1.5529142706151244,5.795554957734409
faultst040dp120,"On fault, 4.0 km along strike, 12.0 km down-dip.",4.0,12.0,3.105828541230249,11.591109915468818
faultst040dp180,"On fault, 4.0 km along strike, 18.0 km down-dip.",4.0,18.0,4.658742811845373,17.386664873203227
faultst080dp000,"On fault, 8.0 km along strike, 0.0 km down-dip.",8.0,0.0,0.0,0.0
faultst080dp030,"On fault, 8.0 km along strike, 3.0 km down-dip.",8.0,3.0,0.7764571353075622,2.8977774788672046
faultst080dp060,"On fault, 8.0 km along strike, 6.0 km down-dip.",8.0,6.0,1.5529142706151244,5.795554957734409
faultst080dp120,"On fault, 8.0 km along strike, 12.0 km down-dip.",8.0,12.0,3.105828541230249,11.591109915468818
faultst080dp180,"On fault, 8.0 km along strike, 18.0 km down-dip.",8.0,18.0,4.658742811845373,17.386664873203227
faultst120dp000,"On fault, 12.0 km along strike, 0.0 km down-dip.",12.0,0.0,0.0,0.0
faultst120dp030,"On fault, 12.0 km along strike, 3.0 km down-dip.",12.0,3.0,0.7764571353075622,2.8977774788672046
faultst120dp060,"On fault, 12.0 km along strike, 6.0 km down-dip.",12.0,6.0,1.5529142706151244,5.795554957734409
faultst120dp120,"On fault, 12.0 km along strike, 12.0 km down-dip.",12.0,12.0,3.105828541230249,11.591109915468818
faultst120dp180,"On fault, 12.0 km along strike, 18.0 km down-dip.",12.0,18.0,4.658742811845373,17.386664873203227
